a new front
51,96,-5.16781,19.1129
74,98,-5.49616,22.3634
74,98,-5.49616,22.3634
1,41,-2.00838,5.46084
74,98,-5.49616,22.3634
74,98,-5.49616,22.3634
74,99,-5.54462,22.4935
1,41,-2.00838,5.46084
74,99,-5.54462,22.4935
1,41,-2.00838,5.46084
74,99,-5.54462,22.4935
74,99,-5.54462,22.4935
74,99,-5.54462,22.4935
1,41,-2.00838,5.46084
74,99,-5.54462,22.4935
74,99,-5.54462,22.4935
1,41,-2.00838,5.46084
2,65,-3.18744,8.71134
15,50,-2.57696,8.4513
2,91,-4.45583,12.0919
1,74,-3.61835,9.7515
15,74,-3.74428,11.5718
51,99,-5.31336,19.503
17,74,-3.76345,11.8318
1,96,-4.6917,12.6119
50,96,-5.1578,18.9829
1,93,-4.54533,12.2219
19,99,-4.99908,15.3424
25,99,-5.05666,16.1225
1,50,-2.44745,6.63102
